,min,max,Precision,Recall,Accuracy,f1_score,time
1,43.0,166.0,1.0,1.0,1.0,1.0,1.088067417993443
2,49.0,175.0,1.0,1.0,1.0,1.0,0.685774534009397
3,64.0,185.0,1.0,1.0,1.0,1.0,1.3784955559967784
4,70.0,192.0,1.0,1.0,1.0,1.0,0.8997419660008745
5,79.0,199.0,1.0,1.0,1.0,1.0,1.141725844994653
6,87.0,211.0,1.0,1.0,1.0,1.0,0.6441855279990705
7,93.0,218.0,1.0,1.0,1.0,1.0,1.1767276909959037
8,102.0,227.0,1.0,1.0,1.0,1.0,0.788626920999377
9,110.0,232.0,1.0,1.0,1.0,1.0,0.6129139510012465
10,119.0,244.0,1.0,1.0,1.0,1.0,1.1567366130038863
11,130.0,244.0,1.0,1.0,1.0,1.0,1.408005562989274
12,133.0,259.0,1.0,1.0,1.0,1.0,0.8885386219917564
13,145.0,268.0,1.0,1.0,1.0,1.0,1.401295730000129
14,154.0,276.0,1.0,1.0,1.0,1.0,0.6353291590057779
15,162.0,283.0,1.0,1.0,1.0,1.0,1.2927252539957408
16,165.0,292.0,1.0,1.0,1.0,1.0,0.6595684769999934
17,175.0,299.0,1.0,1.0,1.0,1.0,1.2258244580007158
18,178.0,300.0,1.0,1.0,1.0,1.0,0.6642088969965698
19,188.0,311.0,1.0,1.0,1.0,1.0,1.2537458499864442
20,203.0,323.0,1.0,1.0,1.0,1.0,0.7781884510040982
21,209.0,326.0,1.0,1.0,1.0,1.0,1.5768123589950847
22,217.0,334.0,1.0,1.0,1.0,1.0,0.9981818340020254
23,219.0,347.0,1.0,1.0,1.0,1.0,0.7562827890069457
24,233.0,355.0,1.0,1.0,1.0,1.0,1.3491037070052698
25,238.0,361.0,1.0,1.0,1.0,1.0,0.6105156659905333
26,251.0,369.0,1.0,1.0,1.0,1.0,1.5382129750068998
27,253.0,381.0,1.0,1.0,1.0,1.0,1.2939956769987475
28,267.0,383.0,1.0,1.0,1.0,1.0,1.1916922019881895
29,271.0,396.0,1.0,1.0,1.0,1.0,1.1285756689903792
30,275.0,404.0,1.0,1.0,1.0,1.0,0.9388767689961242
31,288.0,414.0,1.0,1.0,1.0,1.0,0.8880018930067308
32,293.0,414.0,1.0,1.0,1.0,1.0,1.118919027998345
33,301.0,428.0,1.0,1.0,1.0,1.0,1.4235815970023395
34,315.0,430.0,1.0,1.0,1.0,1.0,1.3520960530004231
35,320.0,444.0,1.0,1.0,1.0,1.0,1.1744822849868797
36,329.0,452.0,1.0,1.0,1.0,1.0,1.1179506490007043
37,332.0,455.0,1.0,1.0,1.0,1.0,1.0670688760001212
38,346.0,468.0,1.0,1.0,1.0,1.0,1.3581815299985465
39,354.0,475.0,1.0,1.0,1.0,1.0,1.1713491459959187
40,356.0,485.0,1.0,1.0,1.0,1.0,0.9426754230080405
41,372.0,492.0,1.0,1.0,1.0,1.0,1.3766411779943155
42,373.0,497.0,1.0,1.0,1.0,1.0,0.8598812980053481
43,385.0,508.0,1.0,1.0,1.0,1.0,0.6364833199913846
44,396.0,519.0,1.0,1.0,1.0,1.0,1.0288597219914664
45,400.0,522.0,1.0,1.0,1.0,1.0,1.303684042999521
46,406.0,531.0,1.0,1.0,1.0,1.0,0.9367589670000598
47,418.0,541.0,1.0,1.0,1.0,1.0,0.9035210319998441
48,426.0,551.0,1.0,1.0,1.0,1.0,1.2813586739939637
49,435.0,555.0,1.0,1.0,1.0,1.0,0.7695158849965082
50,444.0,561.0,1.0,1.0,1.0,1.0,1.3849413849966368
51,453.0,576.0,1.0,1.0,1.0,1.0,1.2769046949979383
52,459.0,576.0,1.0,1.0,1.0,1.0,0.916326452002977
53,463.0,588.0,1.0,1.0,1.0,1.0,1.119321113001206
54,474.0,600.0,1.0,1.0,1.0,1.0,0.5944038660090882
55,482.0,606.0,1.0,1.0,1.0,1.0,1.1545859339967137
56,493.0,611.0,1.0,1.0,1.0,1.0,1.0730565650010249
57,502.0,618.0,1.0,1.0,1.0,1.0,0.7520842819940299
58,509.0,630.0,1.0,1.0,1.0,1.0,1.2363884889928158
59,518.0,633.0,1.0,1.0,1.0,1.0,0.8687357960006921
60,518.0,645.0,1.0,1.0,1.0,1.0,1.4694965570088243
61,528.0,652.0,1.0,1.0,1.0,1.0,1.276034261987661
62,538.0,661.0,1.0,1.0,1.0,1.0,1.0924443270050688
63,550.0,669.0,1.0,1.0,1.0,1.0,1.5633723639912205
64,553.0,680.0,1.0,1.0,1.0,1.0,1.2512076550046913
65,565.0,688.0,1.0,1.0,1.0,1.0,1.2405648910062155
66,575.0,694.0,1.0,1.0,1.0,1.0,0.8799941769975703
67,577.0,703.0,1.0,1.0,1.0,1.0,0.6108175230037887
68,586.0,709.0,1.0,1.0,1.0,1.0,1.1102643000049284
69,596.0,719.0,1.0,1.0,1.0,1.0,1.4658673140074825
70,602.0,723.0,1.0,1.0,1.0,1.0,0.6013700240000617
71,611.0,736.0,1.0,1.0,1.0,1.0,0.63789439300308
72,624.0,744.0,1.0,1.0,1.0,1.0,1.0826848439901369
73,627.0,748.0,1.0,1.0,1.0,1.0,0.8207096260011895
74,640.0,754.0,1.0,1.0,1.0,1.0,0.6415421850106213
75,646.0,768.0,1.0,1.0,1.0,1.0,0.5784056990087265
76,650.0,772.0,1.0,1.0,1.0,1.0,0.6031642799935071
77,658.0,785.0,1.0,1.0,1.0,1.0,0.5729402020078851
78,669.0,792.0,1.0,1.0,1.0,1.0,0.5923953320016153
79,674.0,797.0,1.0,1.0,1.0,1.0,0.6257136430067476
80,682.0,806.0,1.0,1.0,1.0,1.0,0.5452718419983285
81,697.0,815.0,1.0,1.0,1.0,1.0,0.6035353790066438
82,697.0,822.0,1.0,1.0,1.0,1.0,0.5954028580017621
83,712.0,833.0,1.0,1.0,1.0,1.0,0.5632504069944844
84,716.0,840.0,1.0,1.0,1.0,1.0,0.6102000319951912
85,721.0,843.0,1.0,1.0,1.0,1.0,0.5986022230063099
86,732.0,854.0,1.0,1.0,1.0,1.0,0.6008327290037414
87,737.0,861.0,1.0,1.0,1.0,1.0,0.5273500589973992
88,745.0,872.0,1.0,1.0,1.0,1.0,0.6260684799926821
89,753.0,881.0,1.0,1.0,1.0,1.0,0.6044623079942539
90,765.0,892.0,1.0,1.0,1.0,1.0,0.5940723780076951
91,778.0,899.0,1.0,1.0,1.0,1.0,0.5420306300075026
92,785.0,901.0,1.0,1.0,1.0,1.0,0.6061332020035479
93,792.0,915.0,1.0,1.0,1.0,1.0,0.7652101819985546
94,796.0,922.0,1.0,1.0,1.0,1.0,0.6292151879897574
95,808.0,927.0,1.0,1.0,1.0,1.0,0.546135269003571
96,813.0,940.0,1.0,1.0,1.0,1.0,0.5792463340039831
97,818.0,944.0,1.0,1.0,1.0,1.0,0.6307035330100916
98,829.0,949.0,1.0,1.0,1.0,1.0,0.5797354009991977
99,840.0,964.0,1.0,1.0,1.0,1.0,0.596293890994275
